poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,sc_ct_ct_add,sc_pl_ct_add,sc_ct_ct_mul,sc_pl_ct_mul,rotate,vec_ct_ct_add,vec_pl_ct_add,vec_ct_ct_mul,vec_pl_ct_mul
4096,90,18,31,2494,7741,2424,1366,4412,2547,12096,3344
4096,90,20,31,2486,7621,2423,1361,4405,2544,12044,3330
4096,90,25,31,2493,7643,2423,1361,4399,2511,12050,3327
8192,130,18,91,6270,23333,5883,4552,10719,6195,34068,8740
8192,130,20,90,6267,23357,5907,4558,10706,6221,34088,8752
8192,130,25,90,6097,23339,5883,4556,10714,6013,34083,8753
16384,160,18,241,15005,63711,14488,14190,26118,15128,90351,22251
16384,160,20,257,14963,63783,14582,14203,26127,15005,90423,22448
16384,160,25,240,14991,63801,14567,14211,26109,15000,90261,22444
16384,260,18,300,17190,82231,16929,19263,29928,17390,112714,26066
16384,260,20,298,17261,82337,16923,19341,29937,17139,112727,26327
16384,260,25,298,17206,82401,16863,19239,29933,17278,112845,26096
16384,270,18,239,14925,63688,14625,14213,26722,14995,90479,22371
16384,270,20,238,15191,63740,14544,14203,26575,14983,90509,22476
16384,270,25,239,15211,63457,14869,14201,26587,14977,90281,22323
